anzsic06,Area,year,geo_count,ec_count
A011,A238100,2000,3,6
A011,A238200,2000,6,12
A011,A238300,2000,3,0
A011,A238400,2000,3,0
A011,A238500,2000,0,0
A011,A238900,2000,3,3
A011,A239400,2000,3,6
A011,A239500,2000,3,0
A011,A239600,2000,0,0
A011,A241100,2000,0,3
A011,A241500,2000,0,0
A011,A242000,2000,0,0
A011,A242300,2000,6,3
A011,A245600,2000,3,3
A011,A245900,2000,0,3
A011,A246800,2000,0,9
A011,A246900,2000,0,0
A011,A249700,2000,0,0
A011,A250900,2000,0,0
A011,A253300,2000,0,6
A011,A254900,2000,0,0
A011,A255000,2000,0,0
A011,A255400,2000,3,0
A011,A256300,2000,3,9
A011,A256400,2000,0,0
A011,A256500,2000,0,0
A011,A256600,2000,3,0
A011,A256800,2000,3,9
A011,A257000,2000,0,0
A011,A257100,2000,0,6
A011,A257300,2000,3,0
A011,A257700,2000,0,0
A011,A257800,2000,0,0
A011,A257900,2000,3,0
A011,A300600,2000,3,3
A011,A300700,2000,6,3
A011,A300800,2000,3,3
A011,A300900,2000,6,12
A011,A301000,2000,3,12
A011,A301100,2000,0,9
A011,A301200,2000,0,3
A011,A301500,2000,9,3
A011,A301600,2000,3,6
A011,A301700,2000,0,0
A011,A302100,2000,3,50
A011,A302200,2000,3,12
A011,A302300,2000,3,0
A011,A302400,2000,3,3
A011,A302500,2000,3,25
A011,A302600,2000,0,0
A011,A302700,2000,15,18
A011,A303000,2000,3,0
A011,A303100,2000,6,3
A011,A303300,2000,3,0
A011,A303600,2000,6,3
A011,A304300,2000,0,3
A011,A304400,2000,3,0
A011,A304500,2000,0,0
A011,A305100,2000,0,9
A011,A305700,2000,3,0
A011,A305900,2000,0,0
A011,A306000,2000,3,0
A011,A306300,2000,0,0
A011,A306500,2000,3,0
A011,A306600,2000,6,3
A011,A306800,2000,3,0
A011,A306900,2000,3,0
A011,A307100,2000,3,12
A011,A307200,2000,9,9
A011,A307300,2000,6,12
A011,A307400,2000,9,35
A011,A307500,2000,3,0
A011,A307600,2000,0,0
A011,A307700,2000,0,0
A011,A307800,2000,3,3
A011,A308000,2000,0,6
A011,A308300,2000,0,0
A011,A308400,2000,0,3
A011,A308600,2000,0,0
A011,A308800,2000,0,0
A011,A309000,2000,0,0
A011,A309300,2000,0,0
A011,A309400,2000,3,9
A011,A309500,2000,3,0
A011,A309600,2000,3,0
A011,A310100,2000,3,0
A011,A310600,2000,0,0
A011,A310700,2000,0,0
A011,A311400,2000,0,0
A011,A311700,2000,3,3
A011,A311900,2000,0,0
A011,A312400,2000,0,0
A011,A312600,2000,3,0
A011,A312800,2000,9,3
A011,A312900,2000,0,0
A011,A313000,2000,0,0
A011,A313100,2000,3,3
A011,A313200,2000,0,0
A011,A313300,2000,0,0
A011,A313400,2000,0,0
A011,A313500,2000,9,0
A011,A313600,2000,9,6
A011,A313700,2000,0,0
A011,A313800,2000,0,0
A011,A314000,2000,0,0
A011,A314200,2000,3,0
A011,A314300,2000,3,0
A011,A314500,2000,3,0
A011,A314600,2000,0,0
A011,A314700,2000,6,9
A011,A314800,2000,24,12
A011,A315000,2000,0,0
A011,A315100,2000,6,18
A011,A315200,2000,9,6
A011,A315300,2000,0,0
A011,A315400,2000,0,0
A011,A315500,2000,24,25
A011,A315600,2000,3,0
A011,A315700,2000,3,3
A011,A315800,2000,3,0
A011,A316200,2000,0,0
A011,A316300,2000,0,0
A011,A316400,2000,3,0
A011,A316500,2000,9,3
A011,A316600,2000,6,3
A011,A316700,2000,6,6
A011,A316800,2000,0,0
A011,A316900,2000,3,12
A011,A317000,2000,9,3
A011,A317200,2000,3,9
A011,A317600,2000,3,0
A011,A317800,2000,0,0
A011,A317900,2000,3,3
A011,A318100,2000,0,9
A011,A318400,2000,6,0
A011,A318600,2000,0,0
A011,A318800,2000,0,0
A011,A319200,2000,0,0
A011,A319400,2000,0,0
A011,A320000,2000,0,0
A011,A320800,2000,0,0
A011,A321000,2000,3,0
A011,A321200,2000,0,0
A011,A321300,2000,3,35
A011,A322100,2000,3,0
A011,A322200,2000,3,3
A011,A322600,2000,3,0
A011,A324000,2000,0,0
A011,A324300,2000,6,18
A011,A324500,2000,3,0
A011,A324600,2000,3,0
A011,A324800,2000,3,3
A011,A325600,2000,0,0
A011,A325800,2000,0,0
A011,A326200,2000,3,0
A011,A326300,2000,0,0
A011,A327200,2000,0,0
A011,A328000,2000,3,40
A011,A328100,2000,3,0
A011,A328200,2000,0,9
A011,A328400,2000,3,6
A011,A329000,2000,3,3
A011,A329100,2000,0,0
A011,A329200,2000,0,0
A011,A329400,2000,3,0
A011,A330100,2000,3,21
A011,A330200,2000,0,25
A011,A330800,2000,0,3
A011,A331000,2000,0,0
A011,A331200,2000,3,0
A011,A331300,2000,3,3
A011,A331600,2000,6,60
A011,A331700,2000,0,0
A011,A331900,2000,6,18
A011,A332100,2000,3,9
A011,A332200,2000,6,0
A011,A332400,2000,3,0
A011,A332700,2000,0,0
A011,A332800,2000,0,0
A011,A333100,2000,3,0
A011,A333200,2000,3,0
A011,A333300,2000,9,0
A011,A333700,2000,3,3
A011,A333800,2000,3,9
A011,A333900,2000,3,0
A011,A334000,2000,6,0
A011,A334100,2000,3,6
A011,A334200,2000,6,0
A011,A334300,2000,0,0
A011,A334400,2000,6,0
A011,A334500,2000,9,12
A011,A334600,2000,6,0
A011,A335000,2000,6,15
A011,A335400,2000,0,0
A011,A335500,2000,0,0
A011,A335600,2000,24,45
A011,A335700,2000,3,25
A011,A335800,2000,6,6
A011,A335900,2000,9,9
A011,A336000,2000,3,0
A011,A336100,2000,3,0
A011,A336200,2000,0,12
A011,A336300,2000,6,9
A011,A336400,2000,6,0
A011,A336700,2000,3,15
A011,A336800,2000,0,0
A011,A336900,2000,3,0
A011,A337000,2000,0,0
A011,A337100,2000,3,3
A011,A337200,2000,3,0
A011,A337300,2000,6,0
A011,A337500,2000,0,25
